주차장명,위도,경도
용마골삼거리1,37.4472042,126.9935909
나대지주차장(市),37.46203635,127.0326513
죽바위 2-3,37.4542672,127.0302831
상삼포1,37.44672624,127.0225388
상삼포3,37.44651018,127.0231627
상삼포6,37.44794262,127.0223876
죽바위1-1,37.4595019,127.0330713
죽바위1-2,37.45819516,127.0341973
죽바위2-1,37.45708864,127.0307263
죽바위2-5,37.45225203,127.0278922
찬우물1,37.4183244,126.9852968
찬우물2,37.41669335,126.9821376
한계주자창(남태령지구),37.44994884,126.997667
공영노외주차장,37.42344329,127.0084722
공영노외주차장,37.42494202,126.9966724
공영노외주차장,37.43943496,126.9968959
공영노외주차장,37.4382774,126.9959889
공영노외주차장,37.46302379,127.0337331
공영노외주차장,37.43169425,126.9902396
공영노외주차장,37.43134429,126.9879809
상삼포5,37.447273,127.0227942
공영노외주차장,37.42379853,127.0101064
공영노외주차장,37.42441203,127.0106069
공영노외주차장,37.42543218,127.0098369
공영노외주차장,37.42514834,127.0103143
광창2,37.44866143,127.0100242
광창3,37.44840689,127.0101538
광창5,37.44731074,127.0106557
남태령1,37.45236043,126.9932284
남태령3,37.45011656,126.9958307
남태령6,37.4525772,126.992815
뒷골3,37.45864359,127.0011668
뒷골4,37.45618218,127.0013954
광창교(5주차장 선바위역),37.44820604,127.0058299
우면산간(4 주차장),37.44716097,126.9927794
북문노상주차장,37.45129947,127.018158
광명5동 한진1길,37.4775335,126.8506456
광북 노외,37.48680176,126.8656773
광명사거리 공영주차장,37.47920769,126.8515359
소하동 제1노외,37.44848508,126.884429
소하동 제2노외,37.44778249,126.8823144
소하동 제3노외,37.44711007,126.8828228
소하동 제4노외,37.4472363,126.8840263
광명동굴 제3,,
광명3동 35-16 일원,37.4785454,126.8591647
광명4동 꿈동산,37.47713206,126.859335
광명5동 새마을,37.47426612,126.8505335
밤일부락 소형 노외,37.45388411,126.8623245
철산동 삼각주마을 제3공영주차장,37.49444885,126.8685379
철산동 삼각주마을 제2공영주차장,37.49444885,126.8685379
철산동 삼각주마을 제1공영주차장,37.49444885,126.8685379
철산상업지역 노외,37.47494259,126.8690356
개운어린이공원 노외,37.43692953,126.8775266
광명전통시장공영주차장,37.48234234,126.856101
광명경영회계고등학교 주차장,37.43835991,126.8821494
철산동 상업지역 제1노상(철산중앙시장),37.47581411,126.8703592
철산동 상업지역 제2노상,37.47494853,126.8672817
철산동 등기소 주변 노상,37.47688569,126.8670933
하안동 상업지역 제1노상,37.46382078,126.87899
자동차경매장 주변 노상,37.45726032,126.8786575
철산동 중앙로변 노상,37.47602455,126.8679172
광명6동 소형 공영,37.46916532,126.847056
목감로 거주자 우선,37.49081241,126.8635976
하안동 철골 노외,37.46147042,126.879911
하안동 상업지역 제2노상,37.46259341,126.8813828
제3광주역세권 임시 공영주차장,37.40719856,127.2536042
광주경찰서앞 공영주차장,37.40905196,127.2396004
경안시장 공영주차장,37.4087461,127.2576997
곤지암배수펌프장 공영주차장,37.35056383,127.3375199
탄탄병원 인근 공영주차장,37.40963678,127.2570895
광지원리 교량 하부 공영주차장,37.46421071,127.2501662
경안1지구 공영주차장,37.41249142,127.2610496
쌍동4지구 노외주차장,37.36727889,127.3016971
곤지암생활체육공원 공영주차장,37.3611212,127.3207187
양벌2동 공영주차장,37.37826024,127.2606475
중대동 임시공영주차장,37.40872904,127.2155759
목현천둔치 공영주차장,37.41409379,127.2555835
곤지암 공영주차장,37.35072154,127.3412931
상번천리 공영주차장,37.44801584,127.2626379
곤지암둔치 공영주차장,37.34984911,127.3369614
경안배수펌프장 공영주차장,37.41133243,127.2618272
송정동(구)우시장 공영주차장,37.41488049,127.2583307
역동 공영주차장,37.4058554,127.2599427
송정동 크로바쇼핑 인근 공영주차장,37.41864064,127.257478
송정동(경화여고 진입로) 공영주차장,37.41602997,127.2625302
해태아파트 인근 공영주차장,37.40724941,127.2488309
동보 및 두진아파트 앞 공영주차장,37.41497721,127.2504526
다샘장앞 공영주차장,37.40843387,127.2592939
경안동 공영주차장,37.4094068,127.2590196
송정동(광주고교 진입로) 공영주차장,37.41438032,127.2624391
송정동(현대아파트뒤) 공영주차장,37.4167145,127.2579827
신촌리 공영주차장,37.32833575,127.3938505
도담이 공영주차장,37.35959706,127.2451275
하남21세기자동차학원 앞 공영주차장,37.43264684,127.2618299
역동로(신영아트빌) 공영주차장,37.40291881,127.2554425
대쌍령리 공영주차장,37.38392866,127.2997555
광주역세권 공영주차장,37.40029914,127.2528459
송정동 마을 공영주차장,37.41626059,127.2533848
곤지암역세권 공영주차장,37.35125551,127.3442684
송정지구 공영주차장,37.42004149,127.2571804
제2 광주역세권 임시 공영주차장,37.40747842,127.2540056
궁평리 임시 공영주차장,37.33834418,127.3226353
문형동 공영주차장,37.3523319,127.2142268
양벌동 공영주차장,37.37085858,127.2469065
광남동 행정복합문화시설내 주거지 주차장,,
광주시호국보훈공원 공영주차장,37.40795654,127.2538646
곤지암 제1공영주차장,37.34891984,127.3400724
태전6지구 노상주차장,37.38144417,127.2300216
제2공영노상주차장,37.59775951,127.1430468
제4공영노외주차장,37.59960975,127.1468669
제5공영노외주차장,37.59960975,127.1468669
제6공영노외주차장,37.60406271,127.1439683
제8공영노외주차장,37.60590459,127.1361309
제9공영노외주차장,37.59594099,127.1408012
제1공영노상주차장,37.60039585,127.1415275
제4공영노상주차장,37.60190062,127.1384161
제5공영노상주차장,37.5991309,127.1362996
제6공영노상주차장,37.60890247,127.1331023
제7공영노상주차장,37.58653044,127.1399863
제9공영노상주차장,37.59939415,127.1470822
제10공영노상주차장,37.60323695,127.1439448
제1공영노외주차장,37.59960975,127.1468669
