호선,출발역 ID,출발역,출발역 경도,출발역 위도,도착역 ID,도착역,도착역 경도,도착역 위도,소요시간
경의중앙선,1276,탄현,126.7610783,37.69398894,1275,일산,126.7695084,37.68222907,4
경의중앙선,1275,일산,126.7695084,37.68222907,1274,풍산,126.7860838,37.6726685,3
경의중앙선,1274,풍산,126.7860838,37.6726685,1273,백마,126.794334,37.658536,3
경의중앙선,1273,백마,126.794334,37.658536,1272,곡산,126.8016032,37.64607886,2
경의중앙선,1272,곡산,126.8016032,37.64607886,300,대곡,126.8100094,37.63194996,3
경의중앙선,300,대곡,126.8100094,37.63194996,1271,능곡,126.8206343,37.61898699,4
경의중앙선,1270,행신,126.8342883,37.61212161,1271,능곡,126.8206343,37.61898699,4
경의중앙선,1269,강매,126.8444982,37.61229047,1270,행신,126.8342883,37.61212161,3
경의중앙선,1268,한국항공대,126.8683857,37.60331324,1269,강매,126.8444982,37.61229047,3
경의중앙선,1267,수색,126.8956595,37.58086257,1266,디지털미디어시티,126.9006907,37.57740169,2
경의중앙선,1266,디지털미디어시티,126.9006907,37.57740169,1265,가좌,126.9148151,37.56874335,3
경의중앙선,1265,가좌,126.9148151,37.56874335,1264,홍대입구,126.9271189,37.55744949,2
경의중앙선,1264,홍대입구,126.9271189,37.55744949,1263,서강대,126.9355076,37.55213849,2
경의중앙선,1263,서강대,126.9355076,37.55213849,1262,공덕,126.9527198,37.54247351,3
경의중앙선,1262,공덕,126.9527198,37.54247351,1261,효창공원앞,126.9628241,37.53860553,3
경의중앙선,1261,효창공원앞,126.9628241,37.53860553,100C,용산,126.9647575,37.52960692,3
경의중앙선,100C,용산,126.9647575,37.52960692,1008,이촌,126.9735438,37.52241291,3
경의중앙선,1008,이촌,126.9735438,37.52241291,1009,서빙고,126.9884109,37.51956814,3
경의중앙선,1009,서빙고,126.9884109,37.51956814,1010,한남,127.0092091,37.52942892,3
경의중앙선,1010,한남,127.0092091,37.52942892,1011,옥수,127.0187446,37.5405119,2
경의중앙선,1011,옥수,127.0187446,37.5405119,1012,응봉,127.0344837,37.54995263,3
경의중앙선,1012,응봉,127.0344837,37.54995263,1013,왕십리,127.0383329,37.56205814,2
경의중앙선,1013,왕십리,127.0383329,37.56205814,1014,청량리,127.0478656,37.58027909,5
경의중앙선,1014,청량리,127.0478656,37.58027909,101C,회기,127.0578262,37.58952963,3
경의중앙선,101C,회기,127.0578262,37.58952963,1201,중랑,127.0756804,37.5948426,3
경의중앙선,1201,중랑,127.0756804,37.5948426,1202,상봉,127.0851511,37.59671381,2
경의중앙선,1202,상봉,127.0851511,37.59671381,1203,망우,127.0923674,37.59929603,2
경의중앙선,1203,망우,127.0923674,37.59929603,1204,양원,127.1079461,37.60660606,2
경의중앙선,1204,양원,127.1079461,37.60660606,1205,구리,127.143351,37.60326894,3
경의중앙선,1205,구리,127.143351,37.60326894,1206,도농,127.1611787,37.6087726,3
경의중앙선,1206,도농,127.1611787,37.6087726,1207,양정,127.1946691,37.60402796,4
경의중앙선,1207,양정,127.1946691,37.60402796,1208,덕소,127.2088427,37.58689033,3
경의중앙선,1208,덕소,127.2088427,37.58689033,1209,도심,127.2226839,37.57963908,2
경의중앙선,1209,도심,127.2226839,37.57963908,1210,팔당,127.2439662,37.54735943,4
경의중앙선,1210,팔당,127.2439662,37.54735943,1211,운길산,127.3102316,37.55464254,5
경의중앙선,1211,운길산,127.3102316,37.55464254,1212,양수,127.3291384,37.54596343,2
경의중앙선,1212,양수,127.3291384,37.54596343,1213,신원,127.3730917,37.52558556,4
경의중앙선,1213,신원,127.3730917,37.52558556,1214,국수,127.3993098,37.51618712,3
경의중앙선,1214,국수,127.3993098,37.51618712,1215,아신,127.4432115,37.5139186,4
경의중앙선,1215,아신,127.4432115,37.5139186,1216,오빈,127.4736614,37.50616717,4
경의중앙선,1216,오빈,127.4736614,37.50616717,1217,양평,127.4922476,37.49268434,4
경의중앙선,1217,양평,127.4922476,37.49268434,1218,원덕,127.5465587,37.46878174,6
경의중앙선,1218,원덕,127.5465587,37.46878174,1219,용문,127.5937953,37.48180207,5
경의중앙선,1219,용문,127.5937953,37.48180207,1220,지평,127.6289059,37.47690728,4
경의중앙선,1265,가좌,126.9148151,37.56874335,1252,신촌,126.9420893,37.55967514,3
경의중앙선,1252,신촌,126.9420893,37.55967514,1251,서울역,126.9713179,37.55693331,6
경춘선,1306,청량리,127.0486361,37.58127348,1307,회기,127.0585376,37.58992212,3
경춘선,1307,회기,127.0585376,37.58992212,1308,중랑,127.0767903,37.59508335,3
경춘선,1308,중랑,127.0767903,37.59508335,1309,상봉,127.0850857,37.59697334,2
경춘선,1309,상봉,127.0850857,37.59697334,1310,망우,127.0917387,37.60001731,2
경춘선,1310,망우,127.0917387,37.60001731,1311,신내,127.1032252,37.61270547,3
경춘선,1311,신내,127.1032252,37.61270547,1312,갈매,127.1147607,37.63406893,4
경춘선,1312,갈매,127.1147607,37.63406893,1313,별내,127.1269691,37.64206707,3
경춘선,1313,별내,127.1269691,37.64206707,1314,퇴계원,127.1435371,37.64826576,6
경춘선,1314,퇴계원,127.1435371,37.64826576,1315,사릉,127.1769262,37.65112428,3
경춘선,1315,사릉,127.1769262,37.65112428,1316,금곡,127.2075337,37.63735514,4
경춘선,1316,금곡,127.2075337,37.63735514,1317,평내호평,127.244439,37.65321381,4
경춘선,1317,평내호평,127.244439,37.65321381,1318,천마산,127.2850627,37.65922768,4
경춘선,1318,천마산,127.2850627,37.65922768,1319,마석,127.3116866,37.65279222,2
경춘선,1319,마석,127.3116866,37.65279222,1320,대성리,127.3797063,37.68399007,4
경춘선,1320,대성리,127.3797063,37.68399007,1321,청평,127.4266229,37.7355164,3
경춘선,1321,청평,127.4266229,37.7355164,1322,상천,127.4545157,37.7701784,4
경춘선,1322,상천,127.4545157,37.7701784,1323,가평,127.5107394,37.81452005,3
경춘선,1323,가평,127.5107394,37.81452005,1324,굴봉산,127.5577699,37.83206619,5
경춘선,1324,굴봉산,127.5577699,37.83206619,1325,백양리,127.589325,37.83079175,3
경춘선,1325,백양리,127.589325,37.83079175,1326,강촌,127.6341516,37.8057217,5
경춘선,1326,강촌,127.6341516,37.8057217,1327,김유정,127.714324,37.81844901,6
경춘선,1327,김유정,127.714324,37.81844901,1328,남춘천,127.7238507,37.86404667,6
경춘선,1328,남춘천,127.7238507,37.86404667,1329,춘천,127.7166986,37.88451274,3
경춘선,1305,광운대,127.0619852,37.6239165,1309,상봉,127.0850857,37.59697334,8
공항철도,4215,인천공항2터미널,126.4336409,37.46880021,4213,인천공항1터미널,126.4525845,37.44752855,6
공항철도,4213,인천공항1터미널,126.4525845,37.44752855,4212,공항화물청사,126.4775144,37.4590625,4
공항철도,4212,공항화물청사,126.4775144,37.4590625,4211,운서,126.4937299,37.49280888,4
공항철도,4211,운서,126.4937299,37.49280888,4217,영종,126.5249759,37.51202899,4
공항철도,4217,영종,126.5249759,37.51202899,4210,청라국제도시,126.6246584,37.55646453,9
공항철도,4210,청라국제도시,126.6246584,37.55646453,4209,검암,126.6736422,37.56925282,5
공항철도,4209,검암,126.6736422,37.56925282,4208,계양,126.7379045,37.57091223,6
공항철도,4208,계양,126.7379045,37.57091223,4207,김포공항,126.8024731,37.56182976,6
공항철도,4207,김포공항,126.8024731,37.56182976,4206,마곡나루,126.8274959,37.56563153,3
공항철도,4206,마곡나루,126.8274959,37.56563153,4204,디지털미디어시티,126.8978819,37.57752092,8
공항철도,4204,디지털미디어시티,126.8978819,37.57752092,4203,홍대입구,126.9270104,37.55730527,4
공항철도,4203,홍대입구,126.9270104,37.55730527,4202,공덕,126.9540646,37.54166314,3
공항철도,4202,공덕,126.9540646,37.54166314,4201,서울역,126.9697496,37.55332893,4
김포골드,4920,양촌,126.6146259,37.64178439,4921,구래,126.628576,37.64539341,3
김포골드,4921,구래,126.628576,37.64539341,4922,마산,126.6440044,37.64061172,3
김포골드,4922,마산,126.6440044,37.64061172,4923,장기,126.6690786,37.64406519,4
김포골드,4923,장기,126.6690786,37.64406519,4924,운양,126.6838445,37.653775,2
김포골드,4924,운양,126.6838445,37.653775,4925,걸포북변,126.7057757,37.63163877,4
김포골드,4925,걸포북변,126.7057757,37.63163877,4926,사우,126.7197674,37.62032134,3
김포골드,4926,사우,126.7197674,37.62032134,4927,풍무,126.7324492,37.6124284,2
김포골드,4927,풍무,126.7324492,37.6124284,4928,고촌,126.7703259,37.60121341,5
김포골드,4928,고촌,126.7703259,37.60121341,4929,김포공항,126.8019919,37.5623299,7
서해선,108C,일산,126.7705539,37.68177882,107C,풍산,126.7865133,37.67193318,2
서해선,107C,풍산,126.7865133,37.67193318,106C,백마,126.7947655,37.65779704,3
서해선,106C,백마,126.7947655,37.65779704,105C,곡산,126.8020267,37.64535158,2
서해선,105C,곡산,126.8020267,37.64535158,103C,대곡,126.8097208,37.63185759,4
서해선,103C,대곡,126.8097208,37.63185759,104C,능곡,126.8206343,37.61898699,3
서해선,104C,능곡,126.8206343,37.61898699,1980,김포공항,126.8041517,37.56179561,7
서해선,1980,김포공항,126.8041517,37.56179561,1981,원종,126.8048451,37.5241891,5
서해선,1981,원종,126.8048451,37.5241891,1982,부천종합운동장,126.7976017,37.50615415,3
서해선,1982,부천종합운동장,126.7976017,37.50615415,4804,소사,126.7950606,37.48290563,4
서해선,4804,소사,126.7950606,37.48290563,4805,소새울,126.7972816,37.46851045,3
서해선,4805,소새울,126.7972816,37.46851045,4806,시흥대야,126.7929938,37.45009987,3
서해선,4806,시흥대야,126.7929938,37.45009987,4807,신천,126.7867851,37.43924605,3
서해선,4807,신천,126.7867851,37.43924605,4808,신현,126.7878384,37.40956487,4
서해선,4808,신현,126.7878384,37.40956487,4809,시흥시청,126.8059481,37.38156162,5
서해선,4809,시흥시청,126.8059481,37.38156162,4810,시흥능곡,126.8087213,37.36994653,2
서해선,4810,시흥능곡,126.8087213,37.36994653,4811,달미,126.8094161,37.34878795,4
서해선,4811,달미,126.8094161,37.34878795,4812,선부,126.8099895,37.33440845,3
서해선,4812,선부,126.8099895,37.33440845,4813,초지,126.8078423,37.31974341,3
서해선,4813,초지,126.8078423,37.31974341,4814,시우,126.7957422,37.31316362,3
서해선,4814,시우,126.7957422,37.31316362,4815,원시,126.7867935,37.30262376,2
신림선,4401,샛강,126.9294634,37.51716629,4402,대방,126.925416,37.51281376,1
신림선,4402,대방,126.925416,37.51281376,4403,서울지방병무청,126.922714,37.50605539,2
신림선,4403,서울지방병무청,126.922714,37.50605539,4404,보라매,126.9204366,37.50030727,3
신림선,4404,보라매,126.9204366,37.50030727,4405,보라매공원,126.9181405,37.49544567,2
신림선,4405,보라매공원,126.9181405,37.49544567,4406,보라매병원,126.9235495,37.49296432,2
신림선,4406,보라매병원,126.9235495,37.49296432,4407,당곡,126.9275608,37.49022328,1
신림선,4407,당곡,126.9275608,37.49022328,4408,신림,126.9296295,37.48488155,2
신림선,4408,신림,126.9296295,37.48488155,4409,서원,126.9331099,37.47823864,2
신림선,4409,서원,126.9331099,37.47823864,4410,서울대벤처타운,126.93396,37.47200232,2
신림선,4410,서울대벤처타운,126.93396,37.47200232,4411,관악산,126.9450995,37.46908605,2
신분당선,4304,신사,127.0195517,37.51608201,4305,논현,127.0216789,37.51041252,1
신분당선,4305,논현,127.0216789,37.51041252,4306,신논현,127.0249262,37.5036165,2
신분당선,4306,신논현,127.0249262,37.5036165,4307,강남,127.0281852,37.49677713,2
신분당선,4307,강남,127.0281852,37.49677713,4308,양재,127.0351541,37.48346558,2
신분당선,4308,양재,127.0351541,37.48346558,4309,양재시민의숲,127.0384713,37.47013321,2
신분당선,4309,양재시민의숲,127.0384713,37.47013321,4310,청계산입구,127.0547203,37.44835474,3
신분당선,4310,청계산입구,127.0547203,37.44835474,4311,판교,127.1111978,37.39477753,7
신분당선,4311,판교,127.1111978,37.39477753,4312,정자,127.1085191,37.36732672,3
신분당선,4312,정자,127.1085191,37.36732672,4313,미금,127.1085191,37.36732672,3
신분당선,4313,미금,127.1085191,37.36732672,4314,동천,127.1028704,37.33784291,3
신분당선,4314,동천,127.1028704,37.33784291,4315,수지구청,127.0946586,37.32249258,2
신분당선,4315,수지구청,127.0946586,37.32249258,4316,성복,127.0803837,37.31353245,3
신분당선,4316,성복,127.0803837,37.31353245,4317,상현,127.0693635,37.29782897,3
신분당선,4317,상현,127.0693635,37.29782897,4318,광교중앙,127.0517263,37.2883843,3
신분당선,4318,광교중앙,127.0517263,37.2883843,4319,광교,127.0442689,37.30211193,4
에버라인,4501,기흥,127.1170465,37.27545288,4502,강남대,127.1260669,37.27017073,1
에버라인,4502,강남대,127.1260669,37.27017073,4503,지석,127.1366326,37.26973732,2
에버라인,4503,지석,127.1366326,37.26973732,4504,어정,127.1437499,37.27495132,1
에버라인,4504,어정,127.1437499,37.27495132,4505,동백,127.1526906,37.26910138,2
에버라인,4505,동백,127.1526906,37.26910138,4506,초당,127.1594692,37.26080647,4
에버라인,4506,초당,127.1594692,37.26080647,4508,삼가,127.16818,37.24205993,2
에버라인,4508,삼가,127.16818,37.24205993,4509,시청.용인대,127.1788851,37.23944203,2
에버라인,4509,시청.용인대,127.1788851,37.23944203,4510,명지대,127.1902913,37.23807629,2
에버라인,4510,명지대,127.1902913,37.23807629,4511,김량장,127.1986109,37.23732377,1
에버라인,4511,김량장,127.1986109,37.23732377,4512,용인중앙시장,127.2090515,37.2379113,3
에버라인,4512,용인중앙시장,127.2090515,37.2379113,4513,고진,127.2141836,37.24463834,1
에버라인,4513,고진,127.2141836,37.24463834,4514,보평,127.2136387,37.26721222,2
에버라인,4514,보평,127.2136387,37.26721222,4515,둔전,127.2136387,37.26721222,2
에버라인,4515,둔전,127.2136387,37.26721222,4517,전대.에버랜드,127.219509,37.28541327,3
우이신설선,4701,북한산우이,127.0127571,37.66288704,4702,솔밭공원,127.0127571,37.66288704,1
우이신설선,4702,솔밭공원,127.0127571,37.66288704,4703,4·19민주묘지,127.0136976,37.64953077,2
우이신설선,4703,4·19민주묘지,127.0136976,37.64953077,4704,가오리,127.016769,37.64154406,2
우이신설선,4704,가오리,127.016769,37.64154406,4705,화계,127.0175105,37.6340874,1
우이신설선,4705,화계,127.0175105,37.6340874,4706,삼양,127.0181568,37.62691905,2
우이신설선,4706,삼양,127.0181568,37.62691905,4707,삼양사거리,127.0204888,37.62131814,2
